member_casual,day_of_week,total_viajes,duracion_promedio_min
casual,Friday,7954,37.20317031263096
casual,Monday,5558,34.497064291711645
casual,Saturday,13399,38.99451949150434
casual,Sunday,18512,41.00107587870931
casual,Thursday,7085,35.36960715125853
casual,Tuesday,7266,35.669393981099184
casual,Wednesday,7623,41.287524596615505
member,Friday,114586,11.15250859616358
member,Monday,109852,11.159513405915838
member,Saturday,59032,12.50719016804445
member,Sunday,59694,13.022552238639284
member,Thursday,124562,11.123823611267214
member,Tuesday,127359,11.374472553961636
member,Wednesday,121296,11.222167809875566
